label,centrality
"[Modification of Library of Congress, 3819]",6.0
"[Modification of Library of Congress, 4265]",6.0
"[Modification of Library of Congress, 4247]",6.0
"[Modification of Library of Congress, 4265]",6.0
"[Modification of Library of Congress, 3819]",6.0
"[Modification of Library of Congress, 3968]",6.0
"[Modification of Library of Congress, 4539_003]",6.0
"[Modification of Library of Congress, 3928]",6.0
"[Modification of Library of Congress, 4240]",6.0
"[Modification of Library of Congress, 3928]",6.0
"[Modification of Library of Congress, 4247]",6.0
"[Modification of Library of Congress, 4240]",6.0
"[Modification of Library of Congress, 4265]",6.0
"[Modification of Library of Congress, 4357_005_001]",6.0
"[Modification of Library of Congress, 4265]",6.0
"[Modification of Library of Congress, 4247]",6.0
"[Modification of Library of Congress, 4347_3]",6.0
"[Modification of Library of Congress, 4347_3]",6.0
"[Modification of Library of Congress, 4388_101_01]",6.0
"[Modification of Library of Congress, 3967]",6.0
"[Modification of Library of Congress, 3928]",6.0
"[Modification of Library of Congress, 2966]",5.0
"[Addition to Library of Congress, 4318_003]",5.0
"[Modification of Library of Congress, 3027]",5.0
"[Addition to Library of Congress, 3824]",5.0
"[Addition to Library of Congress, 4341]",5.0
"[Addition to Library of Congress, 3967]",5.0
"[Addition to Library of Congress, 4165]",5.0
"[Addition to Library of Congress, 4265]",5.0
"[Modification of Library of Congress, 3027]",5.0
"[Modification of Library of Congress, 4380]",5.0
"[Addition to Library of Congress, 4539_003]",5.0
"[Addition to Library of Congress, 2966]",5.0
"[Addition to Library of Congress, 3027]",5.0
"[Modification of Library of Congress, 3027]",5.0
"[Modification of Library of Congress, 3027]",5.0
"[Addition to Library of Congress, 2247]",5.0
"[Addition to Library of Congress, 3674]",5.0
"[Removal from Library of Congress, 4380]",5.0
"[Removal from Library of Congress, 4341]",5.0
"[Modification of Library of Congress, 4380]",5.0
"[Modification of Library of Congress, 4380]",5.0
"[Addition to Library of Congress, 4318_001]",5.0
"[Addition to Library of Congress, 4247]",5.0
"[Addition to Library of Congress, 3966]",5.0
"[Modification of Library of Congress, 529]",5.0
"[Addition to Library of Congress, 4357_005_001]",5.0
"[Addition to Library of Congress, 4318_005]",5.0
"[Addition to Library of Congress, 3928]",5.0
"[Modification of Library of Congress, 529]",5.0
"[Addition to Library of Congress, 4053]",5.0
"[Addition to Library of Congress, 4318_002]",5.0
"[Addition to Library of Congress, 529]",5.0
"[Modification of Library of Congress, 2687]",4.0
"[Modification of Library of Congress, 4318_002]",4.0
"[Modification of Library of Congress, 4164]",4.0
"[Modification of Library of Congress, 2561]",4.0
"[Modification of Library of Congress, 3966]",4.0
"[Modification of Library of Congress, 2687]",4.0
"[Modification of Library of Congress, 3929]",4.0
"[Modification of Library of Congress, 2561]",4.0
"[Modification of Library of Congress, 3819]",4.0
"[Modification of Library of Congress, 4318_001]",4.0
"[Modification of Library of Congress, 4318_003]",4.0
"[Bookblock (Library of Congress, 3824)]",3.125
"[Addition to Library of Congress, 2561]",3.0
"[Addition to Library of Congress, 4357_005_001]",3.0
"[Addition to Library of Congress, 4265]",3.0
"[Modification of Library of Congress, 3674]",3.0
