label,centrality
"[Modification of Bodleian, Ms.Add.A.105]",7.5
"[Addition to Bodleian, Arch A f 134]",7.0
"[Modification of Bodleian, Bliss B4]",7.0
"[Addition to Bodleian, C 8 22 Line?]",7.0
"[Modification of Bodleian, 23197 d1]",7.0
"[Removal from Bodleian, Vet.256e.15182]",7.0
"[Addition to Bodleian, C 8 22 Line?]",7.0
"[Modification of Bodleian, Vet.256e.15182]",7.0
"[Modification of Bodleian, G.Pamph.2589]",7.0
"[Removal from Bodleian, AA 106 Art]",7.0
"[Removal from Bodleian, C 8 22 Line?]",7.0
"[Addition to Bodleian, Arch A f 134]",7.0
"[Removal from Bodleian, Vet.Al.d.39]",7.0
"[Modification of Bodleian, MS. e Mus. 65]",7.0
"[Modification of Bodleian, Ms.Douce.88]",7.0
"[Addition to Bodleian, C 8 22 Line?]",7.0
"[Modification of Bodleian, Arch.B.c.4]",7.0
"[Modification of Bodleian, AA 106 Art]",7.0
"[Addition to Bodleian, Arch.B.c.4]",7.0
"[Addition to Bodleian, Arch A f 134]",7.0
"[Modification of Bodleian, Ms.Douce.88]",7.0
"[Modification of Bodleian, G.Pamph.2589]",7.0
"[Addition to Bodleian, Arch A f 134]",7.0
"[Modification of Bodleian, G.Pamph.2589]",7.0
"[Modification of Bodleian, G.Pamph.2589]",7.0
"[Removal from Bodleian, Vet.256e.15182]",7.0
"[Removal from Bodleian, AA 106 Art]",7.0
"[Addition to Bodleian, C 8 22 Line?]",7.0
"[Removal from Bodleian, G.Pamph.2589]",7.0
"[Modification of Bodleian, Vet.256e.15182]",7.0
"[Removal from Bodleian, C 8 22 Line?]",7.0
"[Modification of Bodleian, AA 106 Art]",7.0
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",7.0
"[Modification of Bodleian, MS. e Mus. 65]",6.333333333333333
"[Modification of Bodleian, 8vo S 188 Art]",6.0
"[Modification of Bodleian, Arch.B.c.4]",6.0
"[Endband sewing (Bodleian, Vet.Al.d.39)]",6.0
"[Removal from Bodleian, 6062]",6.0
"[Modification of Bodleian, Vet.256e.15182]",6.0
"[Modification of Bodleian, G.Pamph.2589]",6.0
"[Addition to Bodleian, Ms. Clas. Dep. C.43]",6.0
"[Enclosure (Bodleian, Ms Digby 44)]",6.0
"[Core (endband) (Bodleian, Arch.B.c.4)]",6.0
"[Removal from Bodleian, AA 106 Art]",6.0
"[Core (endband) (Bodleian, MS. e Mus. 65)]",6.0
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",6.0
"[Removal from Bodleian, Ms.BOM.187]",6.0
"[Modification of Bodleian, G.Pamph.2376]",6.0
"[Addition to Bodleian, Arch.F.b.3]",6.0
"[Modification of Bodleian, Vet.256e.15182]",6.0
"[Modification of Bodleian, Bliss B4]",6.0
"[Core (endband) (Bodleian, Arch.B.c.4)]",6.0
"[Core (endband) (Bodleian, MS. e Mus. 65)]",6.0
"[Modification of Bodleian, Vet.256e.15182]",6.0
"[Modification of Bodleian, G.Pamph.2589]",6.0
"[Endband sewing (Bodleian, Vet.Al.d.39)]",6.0
"[Modification of Bodleian, Ms. Clas. Dep. C.43]",6.0
"[Removal from Bodleian, 23197 d1]",6.0
[Solution],5.666666666666667
"[Sewing supports (Bodleian, Inc.d.f2.1494.2)]",5.666666666666667
[Solution],5.666666666666667
[Solution],5.666666666666667
[Solution],5.666666666666667
[Solution],5.666666666666667
[Solution],5.666666666666667
[Solution],5.666666666666667
"[Addition to Bodleian, Dance E 44]",5.5
"[Addition to Bodleian, Dance E 44]",5.5
"[Addition to Bodleian, Dance E 44]",5.5
"[Addition to Bodleian, Dance E 44]",5.5
"[Removal from Bodleian, Arch.F.b.3]",5.0
"[Addition to Bodleian, 6062]",5.0
"[Modification of Bodleian, 23197 d1]",5.0
"[Removal from Bodleian, Arch.F.b.3]",5.0
"[Addition to Bodleian, 6062]",5.0
"[Modification of Bodleian, Ms.Add.A.105]",5.0
"[Addition to Bodleian, 8vo S 188 Art]",5.0
"[Addition to Bodleian, Ms.BOM.187]",5.0
"[Modification of Bodleian, 23197 d1]",5.0
"[Head endband (Bodleian, Arch.F.b.3)]",5.0
"[Addition to Bodleian, Ms Digby 44]",5.0
"[Addition to Bodleian, Arch.B.c.4]",5.0
"[Modification of Bodleian, Dance E 44]",5.0
"[Modification of Bodleian, 8vo S 188 Art]",5.0
"[Addition to Bodleian, AA 106 Art]",5.0
"[Removal from Bodleian, MS. e Mus. 65]",5.0
"[Removal from Bodleian, Ms Digby 44]",5.0
"[Addition to Bodleian, Dance E 44]",5.0
"[Removal from Bodleian, 8vo S 188 Art]",5.0
"[Addition to Bodleian, Bliss B4]",5.0
"[Addition to Bodleian, C 8 22 Line?]",5.0
"[Modification of Bodleian, 23197 d1]",5.0
"[Addition to Bodleian, 23197 d1]",5.0
"[Addition to Bodleian, Vet.256e.15182]",5.0
"[Removal from Bodleian, Ms. Auct. D.4.17]",5.0
"[Addition to Bodleian, C 8 22 Line?]",5.0
"[Removal from Bodleian, MS. e Mus. 65]",5.0
"[Bookblock (Bodleian, G.Pamph.1670)]",4.4
"[Bookblock (Bodleian, Arch A f 134)]",4.25
"[Bookblock (Bodleian, Arch.F.b.3)]",4.25
"[Bookblock (Bodleian, Ms Digby 44)]",4.1
"[Removal from Bodleian, 6062]",4.0
"[Modification of Bodleian, MS. e Mus. 65]",4.0
"[Removal from Bodleian, G.Pamph.2589]",4.0
"[Removal from Bodleian, Dance E 44]",4.0
"[Removal from Bodleian, 23197 d1]",4.0
"[Modification of Bodleian, G.Pamph.2376]",4.0
"[Removal from Bodleian, G.Pamph.2376]",4.0
"[Addition to Bodleian, AA 106 Art]",4.0
"[Addition to Bodleian, Inc.d.f2.1494.2]",4.0
"[Addition to Bodleian, AA 106 Art]",4.0
"[Removal from Bodleian, Bliss B4]",4.0
"[Addition to Bodleian, Vet.Al.d.39]",4.0
"[Removal from Bodleian, AA 106 Art]",4.0
"[Removal from Bodleian, MS. e Mus. 65]",4.0
"[Addition to Bodleian, G.Pamph.2589]",4.0
"[Removal from Bodleian, Ms.Douce.88]",4.0
"[Addition to Bodleian, G.Pamph.2376]",4.0
"[Addition to Bodleian, Dance E 44]",4.0
"[Cover (Bodleian, Inc.d.f2.1494.2)]",4.0
"[Removal from Bodleian, C 8 22 Line?]",4.0
"[Addition to Bodleian, AA 106 Art]",4.0
"[Addition to Bodleian, AA 106 Art]",4.0
"[Removal from Bodleian, Ms. Clas. Dep. C.43]",4.0
"[Removal from Bodleian, Vet.Al.d.39]",4.0
"[Removal from Bodleian, G.Pamph.1670]",4.0
"[Removal from Bodleian, MS. e Mus. 65]",4.0
"[Addition to Bodleian, Inc.d.f2.1494.2]",4.0
"[Modification of Bodleian, Arch.B.c.4]",4.0
"[Addition to Bodleian, Vet.256e.15182]",4.0
"[Cover (Bodleian, AA 106 Art)]",3.9166666666666665
"[Bookblock (Bodleian, Ms. Auct. D.4.17)]",3.9
[Solution],3.6666666666666665
[Solution],3.3333333333333335
[Solution],3.3333333333333335
"[Sewing supports (Bodleian, Arch A f 134)]",3.3333333333333335
"[Bookblock (Bodleian, C 8 22 Line?)]",3.3333333333333335
[Solution],3.3333333333333335
"[Cover (Bodleian, Arch.B.c.4)]",3.25
"[Bookblock (Bodleian, AA 106 Art)]",3.1666666666666665
"[Bookblock (Bodleian, Arch.B.c.4)]",3.0833333333333335
"[Bookblock (Bodleian, Ms.BOM.187)]",3.0833333333333335
[Solution],3.0
"[Addition to Bodleian, Inc.d.f2.1494.2]",3.0
"[Addition to Bodleian, G.Pamph.1670]",3.0
"[Sewing structure (Bodleian, G.Pamph.2376)]",3.0
[Solution],3.0
"[Addition to Bodleian, Inc.d.f2.1494.2]",3.0
"[Cover (Bodleian, C 8 22 Line?)]",2.9166666666666665
"[Bookblock (Bodleian, MS. e Mus. 65)]",2.8
"[Bookblock (Bodleian, Bliss B4)]",2.8
"[Bookblock (Bodleian, 8vo S 188 Art)]",2.8
"[Bookblock (Bodleian, Ms. Clas. Dep. C.43)]",2.75
"[Sewing structure (Bodleian, G.Pamph.2589)]",2.75
"[Bookblock (Bodleian, 23197 d1)]",2.7
"[Thread (Bodleian, Arch.F.b.3)]",2.6666666666666665
"[Sewing structure (Bodleian, 23197 d1)]",2.6
"[Sewing structure (Bodleian, Ms. Clas. Dep. C.43)]",2.5555555555555554
"[Bookblock (Bodleian, Ms.Add.A.105)]",2.5
"[Bookblock (Bodleian, Vet.256e.15182)]",2.5
"[Cover (Bodleian, 23197 d1)]",2.5
"[Thread-place (Bodleian, Arch.F.b.3)]",2.4761904761904763
"[Thread-place (Bodleian, Arch.F.b.3)]",2.4761904761904763
"[Bookblock (Bodleian, Vet.Al.d.39)]",2.4166666666666665
"[Bookblock (Bodleian, 6062)]",2.4
"[Cover (Bodleian, G.Pamph.2589)]",2.375
"[Sewing structure (Bodleian, Ms Digby 44)]",2.3
"[Cover (Bodleian, Ms Digby 44)]",2.3
"[Sewing structure (Bodleian, 8vo S 188 Art)]",2.272727272727273
"[Bookblock (Bodleian, Inc.d.f2.1494.2)]",2.25
"[Sewing structure (Bodleian, Vet.256e.15182)]",2.1818181818181817
"[Bookblock (Bodleian, G.Pamph.2376)]",2.125
"[Bookblock (Bodleian, Dance E 44)]",2.125
"[Bookblock (Bodleian, G.Pamph.2589)]",2.125
"[Cover (Bodleian, Ms. Auct. D.4.17)]",2.1
"[Cover (Bodleian, Ms.BOM.187)]",2.0833333333333335
"[Tail endband (Bodleian, Ms. Auct. F.1.14)]",2.0833333333333335
"[Box (Bodleian, Arch A f 134)]",2.0
"[Addition to Bodleian, 6062]",2.0
"[Addition to Bodleian, MS. e Mus. 65]",2.0
"[Sewing-productionfront bead (Bodleian, Ms. Auct. D.4.17)]",2.0
"[Sewing-productionfront bead (Bodleian, Ms.BOM.187)]",2.0
"[Addition to Bodleian, Arch A f 134]",2.0
"[Box (Bodleian, Ms. Clas. Dep. C.43)]",2.0
"[Box (Bodleian, G.Pamph.2376)]",2.0
"[Box (Bodleian, G.Pamph.2589)]",2.0
"[Sewing-productionfront bead (Bodleian, Ms.BOM.187)]",2.0
"[Dyeing-productionvat
                                                (dyeing) (Bodleian, Arch.B.c.4)]",2.0
"[Sewing-productionfront bead (Bodleian, Ms. Auct. D.4.17)]",2.0
"[Box (Bodleian, Ms.Douce.88)]",2.0
"[Box (Bodleian, G.Pamph.1670)]",2.0
"[Cover (Bodleian, Vet.Al.d.39)]",2.0
"[Dyeing-productionvat
                                                (dyeing) (Bodleian, Arch.B.c.4)]",2.0
"[Sewing structure (Bodleian, Bliss B4)]",2.0
"[Addition to Bodleian, 6062]",2.0
"[Addition to Bodleian, MS. e Mus. 65]",2.0
"[Addition to Bodleian, Arch A f 134]",2.0
"[Enclosure (Bodleian, Ms.BOM.187)]",2.0
"[Addition to Bodleian, Arch A f 134]",2.0
"[Addition to Bodleian, Arch A f 134]",2.0
"[Addition to Bodleian, Dance E 44]",2.0
"[Box (Bodleian, Bliss B4)]",2.0
"[Tail endband (Bodleian, Inc.d.f2.1494.2)]",1.9166666666666667
"[Head endband (Bodleian, Inc.d.f2.1494.2)]",1.9166666666666667
"[Cover (Bodleian, Vet.256e.15182)]",1.9
"[Sewing structure (Bodleian, Ms.Add.A.105)]",1.9
"[Sewing structure (Bodleian, Vet.Al.d.39)]",1.8666666666666667
"[Sewing structure (Bodleian, Ms.Douce.88)]",1.75
"[Sewing structure (Bodleian, Dance E 44)]",1.75
"[Left board (Bodleian, C 8 22 Line?)]",1.6666666666666667
"[Bookblock (Bodleian, Ms.Douce.88)]",1.6666666666666667
"[Cover (Bodleian, Arch A f 134)]",1.5625
"[Sewing structure (Bodleian, Arch.B.c.4)]",1.5333333333333334
"[Bookblock (Bodleian, Ms. Auct. F.1.14)]",1.5
"[Cover (Bodleian, Ms.Douce.88)]",1.5
"[Sewing structure (Bodleian, C 8 22 Line?)]",1.5
"[Cover (Bodleian, Ms. Auct. F.1.14)]",1.4545454545454546
